"Time","variance-OMNYK_IND_2c76dab7-5414-4ca9-98c3-bd7f6b6afa5f"
2023-01-25 00:00:00,759
2023-01-25 00:00:01,759
2023-01-25 00:00:01,759
2023-01-25 00:00:02,759
2023-01-25 00:00:03,769
2023-01-25 00:00:04,740
2023-01-25 00:00:04,705
2023-01-25 00:00:05,722
2023-01-25 00:00:06,722
2023-01-25 00:00:07,759
2023-01-25 00:00:07,731
2023-01-25 00:00:08,705
2023-01-25 00:00:09,705
2023-01-25 00:00:09,705
2023-01-25 00:00:10,705
2023-01-25 00:00:11,705
2023-01-25 00:00:12,705
2023-01-25 00:00:12,705
2023-01-25 00:00:13,705
2023-01-25 00:00:14,705
2023-01-25 00:00:14,705
2023-01-25 00:00:15,722
2023-01-25 00:00:15,722
2023-01-25 00:00:16,705
2023-01-25 00:00:17,731
2023-01-25 00:00:18,740
2023-01-25 00:00:18,750
2023-01-25 00:00:19,750
2023-01-25 00:00:20,750
2023-01-25 00:00:21,750
2023-01-25 00:00:21,750
2023-01-25 00:00:22,750
2023-01-25 00:00:23,750
2023-01-25 00:00:24,750
2023-01-25 00:00:24,750
2023-01-25 00:00:25,750
2023-01-25 00:00:26,750
2023-01-25 00:00:27,779
2023-01-25 00:00:28,769
2023-01-25 00:00:28,731
2023-01-25 00:00:29,750
2023-01-25 00:00:30,759
2023-01-25 00:00:31,750
2023-01-25 00:00:31,769
2023-01-25 00:00:32,800
2023-01-25 00:00:33,800
2023-01-25 00:00:34,800
2023-01-25 00:00:35,800
2023-01-25 00:00:35,800
2023-01-25 00:00:36,800
2023-01-25 00:00:37,800
2023-01-25 00:00:38,800
2023-01-25 00:00:39,800
2023-01-25 00:00:39,810
2023-01-25 00:00:40,779
2023-01-25 00:00:41,789
2023-01-25 00:00:41,800
2023-01-25 00:00:42,750
2023-01-25 00:00:43,722
2023-01-25 00:00:44,759
2023-01-25 00:00:44,740
2023-01-25 00:00:45,740
2023-01-25 00:00:46,740
2023-01-25 00:00:47,740
2023-01-25 00:00:47,740
2023-01-25 00:00:48,740
2023-01-25 00:00:49,740
2023-01-25 00:00:50,740
2023-01-25 00:00:50,740
2023-01-25 00:00:51,750
2023-01-25 00:00:52,714
2023-01-25 00:00:52,740
2023-01-25 00:00:53,759
2023-01-25 00:00:54,789
2023-01-25 00:00:55,740
